Наименование,Цена,Количество
"Круг шлифовальный ПП 300х40х127 25 А 40 K,L",1660₽/шт, 7 шт
"Круг шлифовальный ПП 300х40х127 25 А 60 K,L",1685₽/шт, 14 шт
"Круг шлифовальный ПП 300х40х127 63С(64С) 40 K,L",1830₽/шт, 9 шт
"Круг шлифовальный ПП 300х40х127 63С(64С) 60 K,L",1850₽/шт, 8 шт
"Круг шлифовальный ПП 350х40х127 25 А 40 K,L",2280₽/шт, 18 шт
"Круг шлифовальный ПП 350х40х127 25 А 60 K,L",2280₽/шт, 10 шт
"Круг шлифовальный ПП 350х40х127 63С(64С) 40 K,L",2830₽/шт, 8 шт
"Круг шлифовальный ПП 350х40х127 63С(64С) 60 K,L",2795₽/шт, 3 шт
"Круг шлифовальный ПП 400х40х127 25А 40 K,L",2920₽/шт, 14 шт
"Круг шлифовальный ПП 400х40х127 25А 60 K,L",2920₽/шт, 2 шт
"Круг шлифовальный ПП 400х40х127 63С(64С) 40 K,L",3430₽/шт, 3 шт
"Круг шлифовальный ПП 400х40х127 63С(64С) 60 K,L",3530₽/шт, 6 шт
"Круг шлифовальный ПП 400х40х203 25А 40 K,L",2570₽/шт, 5 шт
"Круг шлифовальный ПП 400х40х203 25А 60 K,L",2570₽/шт, 5 шт
"Круг шлифовальный ПП 400х40х203 63С(64С) 40 K,L",3245₽/шт, 6 шт
"Круг шлифовальный ПП 400х40х203 63С(64С) 60 K,L",3040₽/шт, 5 шт
Сегмент 6С 85*78*50 54С,245₽/шт, 18 шт
"Точильный круг MAKITA 150х16х12,7 GC120H/B-51932 (замена B-52009/A-47204)",1388₽/шт, 16 шт
"Точильный круг MAKITA 150х16х12,7 WA60/B-51926 (замена B-51998/A-47210)",1140₽/шт, 2 шт
"Точильный круг MAKITA 205x19x15,88 GC120/B-51976 (замена A-47254/B-52021)",2398₽/шт, 5 шт
"Точильный круг MAKITA 205x19x15,88 WA60/B-51960 (замена A-47260/B-52015)",1960₽/шт, 13 шт
Лента бесконечная ЛБ 75х457 10-Н,54₽/шт, 26 шт
Лента бесконечная ЛБ 75х457 12-Н,54₽/шт, 34 шт
Лента бесконечная ЛБ 75х457 16-Н,54₽/шт, 14 шт
Лента бесконечная ЛБ 75х457 20-Н,54₽/шт, 10 шт
Лента бесконечная ЛБ 75х457 25-Н,54₽/шт, 26 шт
Лента бесконечная ЛБ 75х457 40-Н,54₽/шт, 21 шт
Лента бесконечная ЛБ 75х533 10-Н,62₽/шт, 12 шт
Лента бесконечная ЛБ 75х533 16-Н,62₽/шт, 24 шт
Лента бесконечная ЛБ 75х533 20-Н,62₽/шт, 13 шт
Лента бесконечная ЛБ 75х533 25-Н,62₽/шт, 14 шт
Лента бесконечная ЛБ 75х533 40-Н,62₽/шт, 11 шт
Лента бесконечная ЛБ 75х533 50-Н,62₽/шт, 14 шт
Лента бесконечная ЛБ 100х610 10-Н,94₽/шт, 5 шт
Лента бесконечная ЛБ 100х610 20-Н,94₽/шт, 13 шт
Лента бесконечная ЛБ 100х610 25-Н,94₽/шт, 16 шт
Лента бесконечная ЛБ 100х610 40-Н,94₽/шт, 28 шт
Лента шлифовальная MAKITA 20x240 мм KP120 для LB1200F/B-42597,272₽/шт, 21 шт
Лента шлифовальная MAKITA 20x240 мм P80 для LB1200F/B-42581,272₽/шт, 24 шт
Шлиф. шкурка MIROX 115 мм.*50м. Р40 Цена за 1м,62₽/м, 300 м
Шлиф. шкурка MIROX 115 мм.*50м. Р60 Цена за 1м,52₽/м, 250 м
Шлиф. шкурка MIROX 115 мм.*50м. Р80 Цена за 1м,49₽/м, 250 м
Шлиф. шкурка MIROX 115 мм.*50м. Р100 Цена за 1м,38₽/м, 750 м
Шлиф. шкурка MIROX 115 мм.*50м. Р120 Цена за 1м,38₽/м, 750 м
Шлиф. шкурка MIROX 115 мм.*50м. Р150 Цена за 1м,38₽/м, 1150 м
Шлиф. шкурка MIROX 115 мм.*50м. Р180 Цена за 1м,38₽/м, 1100 м
Шлиф. шкурка MIROX 115 мм.*50м. Р240 Цена за 1м,38₽/м, 700 м
Шлиф. шкурка MIROX 115 мм.*5м. Р80 Цена за 1м,49₽/м, 100 м
Шлиф. шкурка MIROX 115 мм.*5м. Р100 Цена за 1м,38₽/м, 115 м
Шлиф. шкурка MIROX 115 мм.*5м. Р120 Цена за 1м,38₽/м, 115 м
Шлиф. шкурка MIROX 115 мм.*5м. Р180 Цена за 1м,38₽/м, 65 м
Шлиф. шкурка MIROX 115 мм.*5м. Р240 Цена за 1м,38₽/м, 100 м
Шлиф. шкурка водост. лист Р 60 (№25) 230х280 мм ABRAforce WPF,39₽/шт, 156 шт
Шлиф. шкурка водост. лист Р 80 (№20) 230х280 мм ABRAforce WPF,39₽/шт, 202 шт
Шлиф. шкурка водост. лист Р 100 (№16) 230х280 мм ABRAforce WPF,39₽/шт, 318 шт
Шлиф. шкурка водост. лист Р 120 (№10) 230х280 мм ABRAforce WPF,39₽/шт, 115 шт
Шлиф. шкурка водост. лист Р 150 (№8) 230х280 мм ABRAforce WPF,36₽/шт, 231 шт
Шлиф. шкурка водост. лист Р 180 (№ 6) 230х280 мм ABRAforce WPF,36₽/шт, 442 шт
Шлиф. шкурка водост. лист Р 220 (№ 5) 230х280 мм ABRAforce WPF,36₽/шт, 249 шт
Шлиф. шкурка водост. лист Р 240 (№4) 230х280 мм ABRAforce WPF,36₽/шт, 419 шт
Шлиф. шкурка водост. лист Р 280 (М63) 230х280 мм ABRAforce WPF,36₽/шт, 200 шт
Шлиф. шкурка водост. лист Р 320 (М50) 230х280 мм ABRAforce WPF,36₽/шт, 140 шт
Шлиф. шкурка водост. лист Р 360 (М50) 230х280 мм ABRAforce WPF,36₽/шт, 103 шт
Шлиф. шкурка водост. лист Р 400 (М40) 230х280 мм ABRAforce WPF,36₽/шт, 771 шт
Шлиф. шкурка водост. лист Р 500 (М28) 230х280 мм ABRAforce WPF,36₽/шт, 213 шт
Шлиф. шкурка водост. лист Р 600 (М28) 230х280 мм ABRAforce WPF,36₽/шт, 755 шт
Шлиф. шкурка водост. лист Р 800 (М28) 230х280 мм ABRAforce WPF,36₽/шт, 369 шт
Шлиф. шкурка водост. лист Р1000 (М20) 230х280 мм ABRAforce WPF,36₽/шт, 389 шт
Шлиф. шкурка водост. лист Р1500 (М14) 140*230 мм ABRAforce WPF,20₽/шт, 35 шт
Шлиф. шкурка водост. лист Р2000 (М10) 140х230 мм ABRAforce WPF,25₽/шт, 138 шт
Шлиф. шкурка водост.ткань (МИКРОНКА)М40 (Белгород) 775мм 30м.п,1350₽/шт, 2 шт
Шлиф. шкурка водост.ткань 4-Н (Белгород) 775мм 30м.п,12540₽/шт, 2 шт
Шлиф. шкурка водост.ткань 5-Н (Белгород) 775мм 30м.п,12540₽/шт, 2 шт
Шлиф. шкурка водост.ткань 6-Н (Белгород) 775мм 30м.п,14140₽/шт, 4 шт
Шлиф. шкурка водост.ткань 8-Н (Белгород) 775мм 30м.п,14140₽/шт, 3 шт
Шлиф. шкурка водост.ткань 10-Н (Белгород) 775мм 30м.п,14140₽/шт, 1 шт
Шлиф. шкурка водост.ткань 12-Н (Белгород) 775мм 30м.п,14140₽/шт, 9 шт
Шлиф. шкурка водост.ткань 16-Н (Белгород) 775мм 30м.п,14525₽/шт, 4 шт
Шлиф. шкурка водост.ткань 20-Н (Белгород) 775мм 30м.п,14310₽/шт, 4 шт
Шлиф. шкурка водост.ткань 25-Н (Белгород) 775мм 30м.п,15360₽/шт, 3 шт
Шлиф. шкурка водост.ткань 32-Н (Белгород) 775мм 30м.п,16315₽/шт, 2 шт
Шлиф. шкурка водост.ткань 40-Н (Белгород) 775мм 30м.п,17660₽/шт, 2 шт
Шлиф. шкурка водост.ткань 50-Н (Белгород) 775мм 30м.п,18100₽/шт, 2 шт
Шлиф. шкурка водост.ткань 63-Н (Белгород) 775мм 20м.п,11950₽/шт, 2 шт
Шлиф. шкурка водост.ткань 80-Н (Белгород) 775мм 20м.п,12060₽/шт, 2 шт
Шлиф. шкурка водост.ткань 100-Н (Белгород) 775мм 20м.п,12435₽/шт, 1 шт
Насадка-липучка 125 Р 40(40),24₽/шт, 968 шт
Насадка-липучка 125 Р 60(25),21₽/шт, 775 шт
Насадка-липучка 125 Р 80(20),21₽/шт, 897 шт
Насадка-липучка 125 Р100(16),21₽/шт, 1631 шт
Насадка-липучка 125 Р120(12),21₽/шт, 1576 шт
Насадка-липучка 125 Р180(6),21₽/шт, 509 шт
Насадка-липучка 150 Р 40(40),31₽/шт, 436 шт
Насадка-липучка 150 Р 60(25),31₽/шт, 608 шт
Насадка-липучка 150 Р 80(20),31₽/шт, 357 шт
Насадка-липучка 150 Р100(16),31₽/шт, 194 шт
Насадка-липучка 150 Р120(12),31₽/шт, 260 шт
