Наименование,Цена,Количество
"Строп канатный универсальный УСК1- 8т/ 8,0м (d 31,0мм)**",21930₽/шт, 0 шт
"Стяжной ремень СР-25 (0,5/1т-5м, оранжевый)",220₽/шт, 41 шт
"Стяжной ремень СР-35 (2,5/5т-6м, оранжевый)",490₽/шт, 91 шт
"Стяжной ремень СР-50/3 (2,5/5т-3м, оранжевый)",755₽/шт, 12 шт
"Стяжной ремень СР-50/4 (4/8т-10м, оранжевый)",1030₽/шт, 36 шт
"Стяжной ремень СР-50/5 (5/10т-10м, оранжевый)",1060₽/шт, 77 шт
"Стяжной ремень СР-75 (10/20т-10м, оранжевый)",3210₽/шт, 4 шт
"Стяжной ремень СР-100 (10/20т-10м, оранжевый)",3840₽/шт, 3 шт
"Стяжной ремень кольцевой СРк-25 (1т-5м, оранжевый)",150₽/шт, 27 шт
"Стяжной ремень кольцевой СРк-35 (3т-5м, оранжевый)",275₽/шт, 7 шт
"Стяжной ремень СРМ-15 (0,2 т/ 1,5м) с пружинным замком (красная лента)",72₽/шт, 107 шт
"Стяжной ремень СРМ-30 (0,2 т/ 3м) с пружинным замком (желтая лента)",90₽/шт, 185 шт
"Стяжной ремень СРМ-40 (0,2 т/ 4м) с пружинным замком (синяя лента)",105₽/шт, 56 шт
"Блок монтажный с крюком K1-0,5 (г/п 0,5тн, канат 7,7мм, 1 ролик) ""TOR""",860₽/шт, 9 шт
"Блок монтажный с крюком K1-1 (г/п 1,0 тн, канат 11,0мм, 1 ролик) ""TOR""",1235₽/шт, 0 шт
"Блок монтажный с крюком K1-2 (г/п 2,0 тн, канат 11,0мм, 1 ролик) ""TOR""",2380₽/шт, 0 шт
"Блок монтажный с крюком K1-3,2 (г/п 3,2 тн, канат 15,5мм, 1 ролик) ""TOR""",5330₽/шт, 3 шт
"Таль ручная шестеренная ТРЩ 0,5т/3м (тип C) ""TOR""",4050₽/шт, 2 шт
"Таль ручная шестеренная ТРШ 0,5т/6м (тип C) ""TOR""",6000₽/шт, 2 шт
"Таль ручная шестеренная ТРШ 1т/3м (тип C) ""TOR""",4135₽/шт, 1 шт
"Таль ручная шестеренная ТРШ 1т/6м (тип C) ""TOR""",5200₽/шт, 2 шт
"Таль ручная шестеренная ТРШ 2т/3м (тип C) ""TOR""",4875₽/шт, 3 шт
"Таль ручная шестеренная ТРШ 2т/6м (тип C) ""TOR""",6300₽/шт, 2 шт
"Таль ручная шестеренная ТРШ 3т/3м (тип C) ""TOR""",10210₽/шт, 4 шт
"Таль ручная шестеренная ТРШ 3т/6м (тип C) ""TOR""",9350₽/шт, 2 шт
"Таль рычажная ручная ТРР-ТРШСР 1,0т/3м (тип HSH) ""TOR""",4355₽/шт, 1 шт
"Таль рычажная ручная ТРР-ТРШСР 1,0т/6м (тип HSH) ""TOR""",5150₽/шт, 2 шт
"Таль рычажная ручная ТРР-ТРШСР 2,0т/3м (тип HSH) ""TOR""",6050₽/шт, 2 шт
"Таль рычажная ручная ТРР-ТРШСР 2,0т/6м (тип HSH) ""TOR""",7050₽/шт, 2 шт
"Таль рычажная ручная ТРР-ТРШСР 3,0т/3м (тип HSH) ""TOR""",7800₽/шт, 2 шт
"Таль рычажная ручная ТРР-ТРШСР 3,0т/6м (тип HSH) ""TOR""",9225₽/шт, 3 шт
"Таль электрическая PA-125/250 (г/п - 125/250кг, высота - 12/6м, 220В) ""TOR""",8230₽/шт, 1 шт
"Таль электрическая PA-250/500 (г/п - 250/500кг, высота - 12/6м, 220В) ""TOR""",9600₽/шт, 1 шт
"Таль электрическая PA-600/1200 (г/п-600/1200кг, высота-12/6м, 220В) ""TOR""",18720₽/шт, 0 шт
"Тележка гидравлическая DB-2000 кг (г/п-2000 кг,вилы - 1150 мм, полиуретановые колеса) XILIN (TOR)",15600₽/шт, 2 шт
"Тележка гидравлическая DF-III (г/п-2500 кг, полиуретан.колеса) XILIN (TOR)",17100₽/шт, 2 шт
"Тележка гидравлическая RHP (г/п-2500 кг, полиуретан.колеса, литой гидроузел) ""TOR""",21585₽/шт, 2 шт
